,Name,Medals
663,Rui Manuel Monteiro da Silva,1
664,Yarisley Silva Rodrguez,1
665,Irina Alekseyevna Simagina (-Meleshina),1
666,Lidia Elena imon (Slvueanu-),1
667,Sherone Anmarica Simpson,3
668,Kamila Skolimowska,1
669,Austra Skujyt,1
670,Yelena Vladimirovna Slesarenko (Sivushenko-),1
671,Sara Slott-Bruun Petersen,1
672,LaMont Smith,1
673,Ronetta Jamilah Smith,1
674,"James Stephenson ""Steve"" Smith",1
675,Edwin Cheruiyot Soi,1
676,Yelena Aleksandrovna Sokolova (Kremnyova-),1
677,"Elsa Katrine ""Trine"" Solberg-Hattestad",2
678,Jarrin Solomon,1
679,Kelly Jade Sotherton,1
680,Yuliya Vladimirovna Sotnikova,1
681,Javier Sotomayor Sanabria,1
682,Cludio Roberto de Sousa,1
683,Ivana panovi,1
684,Ashley Spencer,1
685,Barbora potkov,3
686,Linda Stahl,1
687,Andrew Steele,1
688,"Aikaterini ""Ekaterini"" Stefanidi",1
689,John William Steffensen,1
690,Rochelle Stevens,1
691,Toby Lynn Stevenson,1
692,Kerron Stewart,3
693,"Viktoriya Ivanivna ""Vita"" Stopina",1
694,Hestrie Storbeck-Cloete (-Els),2
695,David Storl,1
696,"Jennifer ""Jenn"" Stuczynski-Suhr",2
697,Chandra Lavon Sturrup,2
698,Khrystyna Petrivna Stuy,1
699,Leonel Surez Fajardo,2
700,Shingo Suetsugu,1
701,Sui Xinmei,1
702,Jemima Jelagat Sumgong,1
703,Bruny Surin,1
704,Gabriela Szabo (-Gyngyssy),3
705,Yuliya Gennadyevna Tabakova (-Bubnenkova),1
706,Zersenay Tadesse Habtesilase,1
707,Naoko Takahashi,1
708,Shinji Takahira,1
709,Jared Tallent,4
710,Aleksander Tammert,1
711,Paul Kipngetich Tanui,1
712,Maksim Vladimirovich Tarasov,1
713,Ionela Trlea-Manolache,1
714,Jeneba Sylvia Tarmoh,1
715,Jai Desmond Taurima,1
716,"Angelo F. Taylor, Jr.",4
717,Christian Taylor,2
718,Tetiana Viktorivna Tereshchuk-Antypova,1
719,Paul Kibii Tergat,2
720,Aikaterini Thanou,1
721,Brianne Theisen-Eaton,1
722,"Nafissatou ""Nafi"" Thiam",1
723,Iwan Gwyn Thomas,1
724,Elaine Thompson,3
725,Obadele Olutosin Thompson,1
726,Richard Thompson,3
727,Andreas Thorkildsen,2
728,Josia Thugwane,1
729,Ivan Grigoryevich Tikhon,2
730,Michael DeLorean Tinsley,1
731,Andrej Tiwontschik,1
732,Nataliya Viktorivna Tobias (Sydorenko-),1
733,"Robert John ""Rob"" Tobin",1
734,Tamirat Tola Abera,1
735,Tesfaye Tola,1
736,Tatyana Ivanovna Tomashova,1
737,"Gwendolyn Lenna ""Gwen"" Torrence (-Waller, -Smith)",2
738,Matej Tth,1
739,Terrence R. Trammell,2
740,Igor Leonidovich Trandenkov,1
741,"De'Hashia Tonnek ""DeeDee"" Trotter",3
742,Athanasia Tsoumeleka,1
743,Naoki Tsukahara,1
744,Derartu Tulu,2
745,Boniface Mucheru Tumuti,1
746,Kjersti Tysse-Pltzer,2
747,Enee Enefiok Udo-Obong,2
748,Ivan Sergeyevich Ukhov,1
749,Wayde van Niekerk,1
750,Mara del Monte Vasc Pes Gallardo,1
751,Vadims Vasievskis,1
752,David Verburg,1
753,Tatyana Leonidovna Veshkurova,1
754,Sandro Ricardo Rodrigues Viana,1
755,Jimmy Vicaut,1
756,Sunette Stella Viljoen,1
757,Nicola Vizzoni,1
758,Blanka Vlai,2
759,Yekaterina Gennadyevna Volkova (-Mastrova),1
760,Aleksey Nikolayevich Voyevodin,1
761,Erick Wainaina,2
762,Keshorn Walcott,2
